state,county,latitude,longitude
NC,Cleveland,35.254876,-81.691402
NC,Rutherford,35.440832,-81.789415
NC,Cabarrus,35.371633,-80.562141
NC,Mecklenburg,35.473286,-80.872585
NC,Lincoln,35.435922,-81.33848
NC,Union,35.115644,-80.597878
NC,Cumberland,35.053416,-78.781027
NC,Sampson,35.066726,-78.590479
NC,Robeson,34.595364,-79.197058
NC,Bladen,34.621027,-78.725506
NC,Duplin,35.141931,-78.099221
NC,Richmond,34.974434,-79.79851
NC,Scotland,34.795061,-79.577405
NC,Hoke,35.02363,-79.246841
NC,New Hanover,34.163503,-77.95481
NC,Brunswick,33.926255,-78.07127
NC,Pender,34.510936,-78.094517
NC,Columbus,34.275295,-78.350029
NC,Onslow,34.527983,-77.514707
NC,Lenoir,35.220079,-77.615508
NC,Pamlico,35.156145,-76.632264
NC,Carteret,34.873922,-76.587097
NC,Craven,35.129461,-77.01996
NC,Jones,35.005079,-77.523102
NC,Catawba,35.758221,-81.308224
NC,Avery,36.072025,-81.910144
NC,Watauga,36.163862,-81.714505
NC,Wilkes,36.122485,-81.23358
NC,Caldwell,35.994554,-81.726617
NC,Burke,35.689483,-81.538697
NC,Ashe,36.464673,-81.596886
NC,Alleghany,36.520689,-80.983323
NC,Alexander,35.938931,-81.149233
NC,Buncombe,35.628016,-82.556751
NC,Swain,35.409905,-83.479397
NC,Mitchell,36.038317,-82.205783
NC,Jackson,35.430091,-83.092783
NC,Transylvania,35.205962,-82.898272
NC,Henderson,35.4319,-82.544826
NC,Yancey,35.835649,-82.268193
NC,Haywood,35.492743,-82.959555
NC,Polk,35.261201,-82.123534
NC,Graham,35.423135,-83.779522
NC,Macon,35.155829,-83.422421
NC,Mcdowell,35.738725,-82.059494
NC,Madison,35.808232,-82.752619
NC,Cherokee,35.219991,-83.785397
NC,Clay,35.025885,-83.878025
SC,Clarendon,33.685155,-80.190733
SC,Richland,34.126535,-81.234811
SC,Bamberg,33.206294,-80.973559
SC,Lexington,33.871866,-81.414643
SC,Kershaw,34.436891,-80.532238
SC,Lee,34.207324,-80.306569
SC,Chester,34.596281,-81.083171
SC,Fairfield,34.41478,-81.270211
SC,Orangeburg,33.341855,-80.565482
SC,Calhoun,33.570316,-80.708141
SC,Union,34.567049,-81.481439
SC,Newberry,34.221772,-81.872428
SC,Sumter,34.025111,-80.478151
SC,Williamsburg,33.785465,-79.832218
SC,Lancaster,34.588803,-80.718482
SC,Darlington,34.269558,-80.005897
SC,Colleton,33.029619,-80.762449
SC,Chesterfield,34.470238,-80.256814
SC,Saluda,33.88797,-81.679404
SC,Florence,33.937811,-79.903726
SC,Aiken,33.605723,-81.365813
SC,Spartanburg,35.011309,-81.993403
SC,Laurens,34.43492,-81.893558
SC,Cherokee,35.00549,-81.63383
SC,Charleston,32.780326,-79.940844
SC,Berkeley,33.192514,-80.03063
SC,Dorchester,33.014817,-80.195143
